0.81541735,('moth', 'moths')
0.5929551,('bitch', 'hussy')
0.59270394,('floozy', 'harpy')
0.59215355,('floozy', 'moll')
0.591563,('slattern', 'floozie')
0.5896134,('strumpets', 'strumpet')
0.58936137,('sluttish', 'harlotry')
0.58769405,('sluttish', 'slutty')
0.5857607,('sluttish', 'floozy')
0.5842954,('hussy', 'slut')
0.58353657,('beyotch', 'hussy')
0.58136505,('slatternly', 'harpy')
0.5802421,('floozy', 'vixen')
0.5798553,('prostitute', 'streetwalker')
0.57788,('slutty', 'sluts')
0.577734,('beyotch', 'trollop')
0.5773402,('hellcat', 'vixen')
0.57713574,('strumpet', 'vixen')
0.57689244,('prostitute', 'hookers')
0.5752189,('whoremongers', 'whores')
0.5750672,('slutty', 'slutting')
0.5731736,('hellcat', 'slatternly')
0.57296973,('floozy', 'slut')
0.5724939,('strumpets', 'hussy')
0.57213086,('floozie', 'moll')
0.57211787,('floozy', 'harlot')
0.572034,('trollop', 'bitch')
0.57201344,('hussy', 'harpy')
0.5708185,('strumpet', 'slatternly')
0.5699349,('whores', 'hookers')
0.569868,('floozie', 'hellcat')
0.56950444,('sluttish', 'trollop')
0.56916803,('sluttish', 'sluttiness')
0.5678568,('courtier', 'courtesan')
0.5676726,('floozie', 'harpy')
0.5675293,('slutty', 'vixen')
0.5669831,('strumpets', 'whores')
0.5656382,('socialite', 'socialites')
0.56503445,('strumpet', 'hellcat')
0.5644643,('sluttiness', 'bitchiness')
0.5642659,('sluttish', 'hellcat')
0.5637493,('floozy', 'manwhore')
0.563664,('sluttish', 'slattern')
0.56363314,('hussy', 'slatternly')
0.5635063,('trollop', 'cunt')
0.5627355,('moll', 'slatternly')
0.55815357,('trollop', 'slutting')
0.5577149,('sluttish', 'harlot')
0.5575157,('strumpet', 'whore')
0.55719143,('whores', 'sluts')
0.55715126,('whored', 'whoring')
0.55539894,('floozy', 'whore')
0.55514294,('sluttish', 'floozie')
0.5528213,('harlot', 'whore')
0.5523343,('strumpet', 'moll')
0.55143195,('slattern', 'harpy')
0.5510027,('trollop', 'floozie')
0.5508322,('trollop', 'harpy')
0.5507081,('sluttiness', 'slutty')
0.5494894,('harlots', 'harlot')
0.54900616,('floozy', 'slattern')
0.5489444,('sluttish', 'harpy')
0.54859406,('trollop', 'slattern')
0.5479769,('slutty', 'whore')
0.54680604,('cunt', 'hussy')
0.5463534,('moll', 'hellcat')
0.5452831,('hussy', 'floozie')
0.544873,('prostitutes', 'prositution')
0.54323524,('beyotch', 'manwhore')
0.5428868,('harlot', 'adulteress')
0.5413057,('sluttish', 'streetwalker')
0.5406653,('slattern', 'hussy')
0.5406412,('concubine', 'courtesan')
0.5403009,('strumpets', 'slattern')
0.53934073,('streetwalker', 'slutty')
0.53879106,('paramour', 'hellcat')
0.53843856,('vixen', 'harpy')
0.5381948,('trollop', 'strumpets')
0.53765255,('strumpet', 'manwhore')
0.5352829,('floozy', 'sluttiness')
0.5351482,('whoring', 'whore')
0.534159,('whores', 'slut')
0.5335945,('harlot', 'slut')
0.5332979,('trollop', 'slatternly')
0.53293455,('floozie', 'manwhore')
0.5314288,('sluttish', 'strumpets')
0.53096884,('bitch', 'harpy')
0.5296087,('strumpet', 'slutty')
0.5288735,('whores', 'hussy')
0.52883255,('strumpet', 'odalisque')
0.5261991,('harlot', 'harlotry')
0.5261137,('whoremongers', 'harlots')
0.5260555,('beyotch', 'slut')
0.5259859,('prostitute', 'mistress')
0.52597576,('courtier', 'courtesans')
0.5259492,('sluttiness', 'slatternly')
0.52575886,('sluttiness', 'strumpet')
0.524785,('beyotch', 'strumpet')
0.5245751,('meretricious', 'buncombe')
0.5244378,('slutting', 'hellcat')
0.52416986,('hussy', 'streetwalker')
0.52377737,('slutty', 'manwhore')
0.52369034,('paramour', 'floozy')
0.5229175,('harlotry', 'buncombe')
0.52228814,('slattern', 'hellcat')
0.5208253,('beyotch', 'floozy')
0.5205709,('streetwalker', 'slatternly')
0.5194214,('bitch', 'hellcat')
0.51794475,('whores', 'harlot')
0.5177189,('whores', 'slutty')
0.51741755,('sluttish', 'streetwalking')
0.5172835,('streetwalker', 'vixen')
0.51717424,('hussy', 'slutting')
0.5170373,('slattern', 'harlotry')
0.5168089,('prostitutes', 'streetwalking')
0.51660854,('beyotch', 'hellcat')
0.5158963,('sluttish', 'courtesan')
0.5158186,('paramour', 'strumpet')
0.51540613,('moll', 'vixen')
0.51528805,('harlot', 'harpy')
0.5141712,('trollop', 'whores')
0.51416624,('sluttish', 'vixen')
0.51369077,('beyotch', 'slutty')
0.5133792,('floozy', 'slutting')
0.5131911,('trollop', 'manwhore')
0.51275045,('whoredom', 'sluttiness')
0.5127062,('trollop', 'streetwalker')
0.5125227,('bitch', 'sonofabitch')
0.51214993,('cunt', 'strumpet')
0.5118899,('strumpet', 'slut')
0.511742,('strumpet', 'adulteress')
0.5115971,('slutting', 'manwhore')
0.510907,('vixen', 'slut')
0.5107605,('bitch', 'strumpet')
0.51039773,('hellcat', 'manwhore')
0.5101328,('sluttish', 'odalisque')
0.50816816,('sluttish', 'adulteress')
0.5081022,('streetwalker', 'strumpet')
0.5078982,('sluttiness', 'slutting')
0.5076391,('concubines', 'courtesans')
0.5070554,('strumpets', 'slutty')
0.50694835,('bitch', 'slutty')
0.506809,('paramour', 'harpy')
0.50552154,('strumpets', 'floozy')
0.50525284,('beyotch', 'cunt')
0.5047506,('paramour', 'floozie')
0.50452864,('hussy', 'manwhore')
0.50410384,('beyotch', 'whore')
0.5040493,('streetwalker', 'whore')
0.50387424,('tart', 'cocotte')
0.5038549,('whore', 'manwhore')
0.5034414,('sluttiness', 'harlotry')
0.5028993,('sluttish', 'moll')
0.5026696,('slutting', 'slatternly')
0.5020799,('bitch', 'whores')
0.5020238,('streetwalking', 'prostitution')
0.5013262,('trollop', 'sluttiness')
0.50083715,('streetwalker', 'slut')
0.49954298,('sluttish', 'whore')
0.4994484,('strumpets', 'harlots')
0.49927765,('slattern', 'harlot')
0.49840164,('rentboy', 'prostitute')
0.4980349,('rentboy', 'strumpet')
0.49794886,('bitch', 'slutting')
0.49758315,('strumpet', 'harlotry')
0.4972545,('floozie', 'vixen')
0.49680254,('paramour', 'vixen')
0.49679032,('prostitutes', 'whores')
0.4966948,('sluttish', 'harlots')
0.49660674,('prostitute', 'whore')
0.4962673,('trollop', 'vixen')
0.49611515,('slutting', 'slut')
0.496096,('prostitute', 'floozy')
0.49592546,('whores', 'courtesans')
0.4958832,('sluttiness', 'hellcat')
0.4950912,('hellcat', 'slut')
0.49467403,('hussy', 'moll')
0.4944682,('moll', 'harpy')
0.49423623,('slut', 'manwhore')
0.49401236,('paramour', 'prostitute')
0.49378386,('socialite', 'vixen')
0.49335665,('strumpet', 'slutting')
0.4933243,('slutty', 'harpy')
0.49307287,('harlot', 'floozie')
0.49213827,('harlots', 'harlotry')
0.49212933,('bitch', 'floozy')
0.49165952,('cunt', 'sonofabitch')
0.49132323,('slattern', 'sluttiness')
0.49130282,('vixen', 'odalisque')
0.49086404,('slattern', 'moll')
0.49073565,('slutty', 'slatternly')
0.49063405,('whoring', 'slutting')
0.49058533,('whoredom', 'harlot')
0.4902513,('whoredom', 'whoring')
0.49004725,('streetwalking', 'strumpet')
0.4900025,('sluttiness', 'hussy')
0.48996875,('floozy', 'whores')
0.4892584,('slutting', 'whore')
0.48822135,('streetwalker', 'hellcat')
0.48817548,('adulteress', 'harlotry')
0.4881387,('harlot', 'slutty')
0.48750365,('floozy', 'streetwalking')
0.48744956,('streetwalker', 'moll')
0.48677948,('streetwalking', 'streetwalker')
0.48633763,('whoring', 'slutty')
0.48587978,('beyotch', 'harpy')
0.48575836,('whoredom', 'strumpet')
0.48507002,('slattern', 'odalisque')
0.48505056,('paramour', 'moll')
0.48447597,('vixen', 'slatternly')
0.48409387,('strumpets', 'slutting')
0.4836785,('streetwalker', 'courtesan')
0.48357633,('slutty', 'hellcat')
0.48335728,('whore', 'harpy')
0.4830998,('cunt', 'slattern')
0.48261675,('paramour', 'slatternly')
0.48252597,('harlot', 'courtesans')
0.48167104,('whore', 'sluts')
0.48161376,('streetwalking', 'harlotry')
0.48142236,('paramour', 'courtesan')
0.48015785,('cows', 'oxen')
0.48012134,('slattern', 'slutting')
0.47999638,('courtesans', 'socialites')
0.479531,('odalisque', 'slatternly')
0.4792406,('beyotch', 'slutting')
0.47918206,('moll', 'courtesan')
0.4784848,('bunkum', 'buncombe')
0.4784025,('hussy', 'adulteress')
0.47776598,('bitchiness', 'slatternly')
0.4774213,('trollop', 'harlotry')
0.47683665,('sluttish', 'slut')
0.47653705,('prostitute', 'prositution')
0.47635496,('streetwalker', 'floozie')
0.47588828,('beyotch', 'floozie')
0.47496367,('strumpets', 'slatternly')
0.4747719,('strumpets', 'harlot')
0.4745782,('whoremongers', 'whore')
0.4741632,('strumpets', 'harpy')
0.47416294,('strumpets', 'whoring')
0.4741099,('prostitutes', 'streetwalker')
0.4738833,('courtesan', 'slatternly')
0.47373036,('sluttiness', 'manwhore')
0.47356027,('floozie', 'slutty')
0.4715845,('floozy', 'whoring')
0.4714425,('harlot', 'concubine')
0.47129217,('harlot', 'slatternly')
0.47122994,('adulteress', 'whore')
0.4711578,('streetwalker', 'harlot')
0.4709953,('whoring', 'manwhore')
0.47092256,('whore', 'sonofabitch')
0.47091436,('hustler', 'manwhore')
0.47065994,('mistress', 'concubine')
0.4705495,('rentboy', 'manwhore')
0.47047248,('rentboy', 'streetwalking')
0.469718,('bitch', 'manwhore')
0.4696409,('hellcat', 'whore')
0.4695168,('strumpets', 'whore')
0.46892112,('harlot', 'vixen')
0.4687877,('trollop', 'whoring')
0.4687854,('manwhore', 'harpy')
0.46824533,('odalisque', 'courtesan')
0.46756318,('prostitute', 'courtesan')
0.4672712,('slattern', 'adulteress')
0.46700615,('trollop', 'bitchiness')
0.4669739,('beyotch', 'sluttiness')
0.46693954,('trollop', 'adulteress')
0.4667228,('prostitute', 'streetwalking')
0.4664325,('sluttiness', 'slut')
0.46642983,('bitch', 'sluts')
0.4662821,('prostitutes', 'courtesans')
0.46605626,('sluttish', 'slutting')
0.46595272,('whoredom', 'slattern')
0.46593636,('paramour', 'socialite')
0.46529728,('harlot', 'hellcat')
0.46525466,('paramour', 'hussy')
0.465235,('sluttish', 'manwhore')
0.4650927,('sluttiness', 'odalisque')
0.46481177,('paramour', 'concubine')
0.46481088,('floozy', 'hustler')
0.46477744,('floozy', 'courtesan')
0.4647309,('paramour', 'adulteress')
0.46414676,('slutting', 'vixen')
0.4636711,('harlots', 'whore')
0.46362117,('rentboy', 'floozy')
0.463471,('strumpets', 'odalisque')
0.46315998,('whores', 'strumpet')
0.4630464,('sluttish', 'paramour')
0.46270907,('streetwalker', 'harpy')
0.46241567,('slatternly', 'harlotry')
0.46236232,('floozie', 'whore')
0.4622599,('rentboy', 'streetwalker')
0.46105418,('courtesans', 'concubine')
0.4609845,('hussy', 'sluts')
0.46076056,('bitch', 'floozie')
0.46068177,('hussy', 'mistress')
0.460547,('strumpets', 'harlotry')
0.46025905,('whored', 'whore')
0.4601586,('cunt', 'harlot')
0.45966235,('cunt', 'slutty')
0.45923737,('hussy', 'whoring')
0.45899534,('sluttiness', 'harlot')
0.458725,('beyotch', 'vixen')
0.45868963,('strumpet', 'whoring')
0.45861012,('sluttiness', 'floozie')
0.45738104,('hussy', 'harlots')
0.45720175,('sluttish', 'concubine')
0.45683405,('floozy', 'hookers')
0.45675406,('vixen', 'whore')
0.45662,('whores', 'whoredom')
0.4565833,('prostitute', 'slut')
0.45535,('prostitution', 'hookers')
0.45488063,('mongering', 'buncombe')
0.45451418,('streetwalker', 'hookers')
0.4544352,('prositution', 'hookers')
0.45383173,('hussy', 'bitchiness')
0.4534796,('hustler', 'moll')
0.45321935,('sluttiness', 'streetwalking')
0.45302117,('strumpets', 'courtesans')
0.45289928,('prostitute', 'strumpet')
0.4527962,('bitch', 'harlot')
0.4526972,('rentboy', 'floozie')
0.4526775,('slutting', 'harpy')
0.45242387,('slut', 'harpy')
0.452215,('streetwalker', 'slutting')
0.45195037,('hookers', 'manwhore')
0.451706,('meretricious', 'harlotry')
0.45153913,('odalisque', 'harpy')
0.4512802,('adulteress', 'harpy')
0.4510863,('strumpets', 'manwhore')
0.45082295,('floozy', 'harlots')
0.45045486,('beyotch', 'sonofabitch')
0.44994292,('sluttiness', 'harpy')
0.44960687,('concubinage', 'harlotry')
0.44958574,('strumpets', 'sluts')
0.44957075,('harlot', 'slutting')
0.44943878,('whores', 'socialites')
0.44908342,('sluttish', 'whoredom')
0.44889,('slattern', 'slut')
0.4488213,('whores', 'slutting')
0.44858134,('courtesans', 'odalisque')
0.44853577,('floozy', 'socialite')
0.44847736,('streetwalking', 'prositution')
0.44838452,('sluttiness', 'streetwalker')
0.44827956,('hookers', 'harlots')
0.4481408,('floozie', 'slutting')
0.44801965,('rats', 'moths')
0.4479001,('streetwalking', 'slatternly')
0.44778755,('hussy', 'courtesan')
0.44737893,('bitch', 'vixen')
0.44735998,('beyotch', 'harlot')
0.4472521,('beyotch', 'bitchiness')
0.44719583,('harlot', 'sluts')
0.44669738,('prostitute', 'hussy')
0.44653612,('trollop', 'sonofabitch')
0.44621173,('bitchiness', 'slut')
0.4460269,('hussy', 'harlotry')
0.44590485,('strumpets', 'hookers')
0.44542977,('mistress', 'adulteress')
0.44536582,('sluttish', 'whores')
0.4453101,('cunt', 'whores')
0.44520232,('prostitute', 'manwhore')
0.4447535,('rentboy', 'paramour')
0.44474754,('prostitute', 'vixen')
0.4447428,('hussy', 'socialite')
0.44466093,('odalisque', 'harlotry')
0.4446233,('trollop', 'harlots')
0.444499,('trollop', 'paramour')
0.44424102,('whores', 'manwhore')
0.444061,('harlots', 'courtesans')
0.44381404,('whoremongers', 'strumpets')
0.44368085,('harlot', 'courtesan')
0.44360134,('streetwalking', 'floozie')
0.4434146,('trollop', 'odalisque')
0.44328126,('rentboy', 'sluttish')
0.4432331,('strumpets', 'slut')
0.44308972,('mistress', 'strumpet')
0.44295624,('whored', 'whores')
0.44288883,('floozy', 'adulteress')
0.44255114,('hussy', 'odalisque')
0.44248933,('courtier', 'harlot')
0.4424455,('whoredom', 'hussy')
0.44233572,('trollop', 'whored')
0.44153687,('trollop', 'moll')
0.44126245,('sluttiness', 'buncombe')
0.4411626,('whoring', 'harlot')
0.44112003,('hellcat', 'odalisque')
0.4409637,('hustler', 'streetwalker')
0.44084004,('cunt', 'harpy')
0.44060722,('strumpets', 'floozie')
0.44043404,('prostitute', 'hustler')
0.44028667,('floozie', 'slut')
0.4401815,('paramour', 'manwhore')
0.44013688,('mistress', 'courtesan')
0.43994096,('strumpet', 'courtesan')
0.43957016,('strumpets', 'sluttiness')
0.43908957,('streetwalking', 'moll')
0.43900737,('slattern', 'streetwalking')
0.43882337,('harlots', 'sluts')
0.43781215,('strumpets', 'hellcat')
0.43777785,('streetwalking', 'slutty')
0.43776587,('slattern', 'harlots')
0.43771183,('bitch', 'bitchiness')
0.4374051,('streetwalking', 'hookers')
0.43711346,('sluttish', 'bitchiness')
0.43693396,('harlot', 'manwhore')
0.4368441,('whoremongers', 'whoring')
0.43656835,('courtier', 'concubine')
0.4365082,('trollop', 'sluts')
0.4360208,('vixen', 'courtesan')
0.4360157,('sluttiness', 'vixen')
0.43583855,('hustler', 'whore')
0.4345537,('harlot', 'odalisque')
0.43433732,('rentboy', 'trollop')
0.43433678,('sluttish', 'bitch')
0.43416953,('whore', 'slatternly')
0.4333473,('rentboy', 'slutty')
0.43268263,('whoremongers', 'harlot')
0.431623,('rentboy', 'slutting')
0.4307509,('socialite', 'hellcat')
0.43067276,('slattern', 'slutty')
0.4304137,('slutting', 'sluts')
0.430142,('slattern', 'whore')
0.42984566,('whoredom', 'slatternly')
0.42938384,('sluttiness', 'whoring')
0.42900413,('sluttish', 'prostitute')
0.4288958,('beyotch', 'sluttish')
0.42873248,('floozy', 'sluts')
0.42857772,('slattern', 'vixen')
0.42856607,('strumpet', 'socialite')
0.42746457,('slattern', 'socialite')
0.427197,('sluttish', 'cunt')
0.42711446,('paramour', 'slattern')
0.42710572,('cunt', 'floozy')
0.42705277,('slattern', 'streetwalker')
0.4269526,('floozie', 'odalisque')
0.42690772,('sluttish', 'courtesans')
0.42685312,('sluttish', 'whoring')
0.42676166,('socialite', 'courtesan')
0.42653462,('whores', 'harpy')
0.42649847,('cunt', 'hellcat')
0.42634442,('beyotch', 'strumpets')
0.4260971,('mistress', 'hellcat')
0.42588833,('concubines', 'courtiers')
0.4255487,('slattern', 'whoring')
0.42488033,('prostitutes', 'concubines')
0.42407307,('strumpet', 'harlots')
0.42398587,('odalisque', 'cocotte')
0.4238953,('floozie', 'courtesan')
0.42356783,('tart', 'strumpet')
0.42352343,('cunt', 'manwhore')
0.42349827,('cunt', 'floozie')
0.42312846,('sluttish', 'courtier')
0.42212114,('sluttish', 'sluts')
0.4218845,('guff', 'bunkum')
0.42165408,('mistress', 'vixen')
0.42154142,('strumpet', 'cocotte')
0.42123824,('beyotch', 'slattern')
0.42101684,('whoring', 'harlotry')
0.42025033,('prostitute', 'hooker')
0.42002317,('streetwalker', 'courtesans')
0.41968462,('mistress', 'socialite')
0.41963983,('strumpets', 'whoredom')
0.41962177,('adulteress', 'slatternly')
0.41952494,('cunt', 'sluts')
0.4187309,('trollop', 'socialite')
0.4187186,('concubines', 'courtesan')
0.4185231,('strumpet', 'bitchiness')
0.4182951,('floozie', 'harlotry')
0.4179587,('courtiers', 'courtesan')
0.41778928,('harlotry', 'harpy')
0.41778165,('slattern', 'cocotte')
0.41773596,('streetwalking', 'manwhore')
0.4176766,('floozie', 'sonofabitch')
0.4176711,('rentboy', 'hookers')
0.41713923,('paramour', 'streetwalker')
0.41699323,('whoredom', 'whore')
0.41688442,('sluttish', 'whoremongers')
0.41633976,('rentboy', 'prostitutes')
0.4162556,('prostitute', 'adulteress')
0.41620213,('meretricious', 'bunkum')
0.41611946,('streetwalking', 'slutting')
0.41522866,('whoredom', 'harlots')
0.4146868,('prostitute', 'hellcat')
0.41447815,('floozy', 'bitchiness')
0.41447517,('cunt', 'bitchiness')
0.41383564,('harlots', 'whoring')
0.41372102,('odalisque', 'concubine')
0.41364345,('slut', 'slatternly')
0.41343743,('manwhore', 'slatternly')
0.413198,('streetwalking', 'vixen')
0.41318858,('hustler', 'floozie')
0.4131837,('cattle', 'oxen')
0.4128657,('manwhore', 'sluts')
0.41274288,('socialite', 'harpy')
0.41270387,('concubinage', 'concubines')
0.41262105,('harlots', 'slutty')
0.41250753,('mistress', 'floozie')
0.41249263,('adulteress', 'hellcat')
0.41233888,('adulteress', 'courtesan')
0.41219398,('harlot', 'courtiers')
0.4121215,('whoremongers', 'adulteress')
0.41195688,('slutty', 'moll')
0.4119375,('whoremongers', 'whored')
0.41177213,('hustler', 'hellcat')
0.41176012,('whoremongers', 'slutty')
0.41141292,('hustler', 'hookers')
0.41139448,('strumpet', 'sonofabitch')
0.41112062,('harlots', 'slatternly')
0.4110421,('whoremongers', 'harlotry')
0.41080445,('whoredom', 'buncombe')
0.410754,('bitchiness', 'slutty')
0.410252,('harlots', 'slutting')
0.40986174,('floozy', 'mistress')
0.40978423,('whores', 'concubines')
0.4095184,('whored', 'slutty')
0.40943286,('strumpets', 'streetwalking')
0.40920222,('adulteress', 'concubine')
0.40902287,('whoredom', 'streetwalking')
0.40901822,('floozy', 'harlotry')
0.40900818,('glowworm', 'odalisque')
0.40900582,('adulteress', 'odalisque')
0.40891597,('strumpets', 'whored')
0.40881103,('adulteress', 'slut')
0.4084626,('floozy', 'whoredom')
0.40828407,('concubinage', 'concubine')
0.40825555,('courtesan', 'harpy')
0.40814468,('bitch', 'strumpets')
0.40801585,('mistress', 'manwhore')
0.40786976,('whored', 'hussy')
0.4075905,('courtesans', 'slatternly')
0.40747097,('trollop', 'prostitute')
0.40728188,('strumpet', 'sluts')
0.40686378,('rentboy', 'mistress')
0.4067521,('moll', 'socialite')
0.40671375,('whores', 'harlotry')
0.40642762,('streetwalker', 'adulteress')
0.40619653,('strumpets', 'vixen')
0.40595785,('sluttish', 'socialite')
0.40546742,('prostitutes', 'harlots')
0.40532956,('mongering', 'whoredom')
0.40507877,('rentboy', 'sluttiness')
0.4050282,('streetwalker', 'sluts')
0.404989,('cunt', 'streetwalker')
0.4045365,('socialite', 'manwhore')
0.40443876,('adulteress', 'floozie')
0.4043709,('prostitute', 'floozie')
0.40376002,('whored', 'slutting')
0.4037142,('prostitute', 'harlot')
0.40354466,('whored', 'hellcat')
0.40305173,('cunt', 'strumpets')
0.40305,('whores', 'streetwalker')
0.40296704,('moths', 'glowworm')
0.40277705,('sonofabitch', 'harpy')
0.4026361,('rentboy', 'whore')
0.40260094,('whoremongers', 'floozy')
0.40237117,('concubines', 'harlot')
0.40201166,('concubine', 'harlotry')
0.40192223,('prostitute', 'moll')
0.40124837,('bitchiness', 'vixen')
0.40107155,('paramour', 'slutting')
0.40086913,('streetwalker', 'harlotry')
0.4007293,('harlots', 'adulteress')
0.40064687,('socialites', 'courtiers')
0.4006188,('strumpet', 'concubine')
0.4001905,('prostitute', 'concubine')
0.40015996,('prostitutes', 'mistress')
0.3997968,('guff', 'hogwash')
0.39968133,('concubines', 'courtier')
0.39967206,('mongering', 'bunkum')
0.39961937,('hookers', 'courtesans')
0.39961517,('strumpets', 'buncombe')
0.3995886,('hookers', 'slut')
0.39947233,('whores', 'slattern')
0.3992782,('streetwalker', 'odalisque')
0.3992477,('whoremongers', 'sluts')
0.39912975,('whoring', 'slatternly')
0.39908415,('hussy', 'concubine')
0.39887795,('strumpet', 'courtier')
0.3988681,('hellcat', 'courtesan')
0.39819822,('whoring', 'slut')
0.3980331,('bitchiness', 'hellcat')
0.39794058,('beyotch', 'adulteress')
0.3977587,('floozy', 'odalisque')
0.39743984,('concubines', 'harlots')
0.39735603,('prostitute', 'whores')
0.39715278,('whores', 'hellcat')
0.3971454,('cunt', 'slutting')
0.39710397,('streetwalker', 'manwhore')
0.39692706,('vixen', 'manwhore')
0.39668912,('slutty', 'harlotry')
0.39666516,('trollop', 'whoredom')
0.39585283,('hooker', 'manwhore')
0.39584163,('hookers', 'whore')
0.39570844,('bitch', 'slatternly')
0.39541617,('mongering', 'harlotry')
0.39526844,('adulteress', 'socialite')
0.39513543,('whoring', 'hellcat')
0.39448953,('floozy', 'courtesans')
0.39439884,('slattern', 'glowworm')
0.39431757,('trollop', 'tart')
0.3943122,('hussy', 'hookers')
0.39422512,('bitch', 'whoring')
0.39385787,('rentboy', 'hellcat')
0.3935038,('paramour', 'whore')
0.39323932,('hussy', 'courtesans')
0.39303482,('socialite', 'slatternly')
0.39300814,('prostitute', 'socialite')
0.3928934,('whoring', 'harpy')
0.3927195,('hustler', 'vixen')
0.39259142,('john', 'cunt')
0.3925242,('sluttish', 'concubines')
0.39243308,('hussy', 'streetwalking')
0.3920689,('slattern', 'kine')
0.39139977,('whoredom', 'bitchiness')
0.39123258,('cunt', 'sluttiness')
0.39055917,('mongering', 'meretricious')
0.3904704,('whoremongers', 'manwhore')
0.3904206,('floozie', 'socialite')
0.39039224,('floozy', 'tart')
0.3899488,('trollop', 'streetwalking')
0.38992584,('socialite', 'slut')
0.38991693,('mistress', 'harlot')
0.38963997,('tart', 'slattern')
0.38956556,('trollop', 'guff')
0.3892884,('harlots', 'harpy')
0.3891747,('whored', 'manwhore')
0.3890943,('bitch', 'streetwalker')
0.3890796,('hustler', 'socialite')
0.38891158,('prositution', 'harlotry')
0.38889626,('strumpet', 'hookers')
0.388566,('mongering', 'whoring')
0.3885405,('moth', 'glowworm')
0.38827366,('hellcat', 'sonofabitch')
0.38804123,('paramour', 'odalisque')
0.38770342,('manwhore', 'sonofabitch')
0.38742933,('strumpets', 'streetwalker')
0.3870162,('harlot', 'moll')
0.3869477,('streetwalker', 'hooker')
0.38676456,('beyotch', 'whores')
0.38663384,('kine', 'cocotte')
0.3865627,('streetwalker', 'socialite')
0.38643795,('streetwalking', 'hellcat')
0.3859301,('paramour', 'sluttiness')
0.3857862,('prostitute', 'slatternly')
0.38553727,('cunt', 'slatternly')
0.38530156,('slutty', 'odalisque')
0.38517782,('cunt', 'adulteress')
0.38490894,('adulteress', 'moll')
0.3846762,('bitchiness', 'harpy')
0.38456425,('courtier', 'harpy')
0.38438487,('tart', 'slutty')
0.38427,('mole', 'rat')
0.3839819,('sluttish', 'hustler')
0.38397053,('sluttiness', 'sluts')
0.38353974,('courtier', 'odalisque')
0.38339907,('whored', 'slattern')
0.3831064,('paramour', 'harlot')
0.3829874,('whoring', 'sluts')
0.38293558,('whoremongers', 'hookers')
0.38248745,('hooker', 'slut')
0.38234386,('whoremongers', 'harpy')
0.38186234,('courtesans', 'harpy')
0.38165146,('harlots', 'hellcat')
0.38143006,('streetwalker', 'prostitution')
0.38135424,('bitch', 'slattern')
0.38131988,('prostitute', 'slutty')
0.3811069,('meretricious', 'whoredom')
0.38107163,('trollop', 'mistress')
0.38101774,('john', 'strumpet')
0.3810038,('beyotch', 'buncombe')
0.38091758,('whoremongers', 'slut')
0.380912,('mistress', 'harpy')
0.3809041,('rentboy', 'hussy')
0.38072762,('moth', 'rat')
0.38055694,('paramour', 'courtier')
0.38036048,('whore', 'harlotry')
0.38003582,('tart', 'slatternly')
0.38002288,('beyotch', 'streetwalker')
0.3798582,('hussy', 'sonofabitch')
0.3796532,('hogwash', 'buncombe')
0.37961006,('glowworm', 'hellcat')
0.3794594,('harlots', 'courtiers')
