,id,pos,category,stereotype,lemma,level
5288,EN7804,n,om,no,transvestite,inclusive
5646,EN2200,n,cds,no,devil,conservative
4897,EN1697,n,cds,no,stinker,conservative
2874,EN3937,n,asm,no,gliding mechanism,inclusive
2446,EN3672,n,an,no,eurypterids,inclusive
912,EN3755,n,cds,no,pimps,conservative
7027,EN4506,n,om,no,homoerotically,inclusive
5364,EN6033,n,ddf,yes,runt,conservative
1230,EN3396,n,svp,no,gourmandizing,conservative
2551,EN464,n,re,no,forced sex,conservative
1172,EN2991,n,ps,yes,nitwit,conservative
3018,EN3366,n,svp,no,gormandizes,conservative
6264,EN3038,n,cds,no,evildoer,conservative
145,EN625,n,ddp,yes,chatterbox,conservative
2018,EN1099,n,cds,no,lot,inclusive
287,EN4838,n,ddp,yes,asshat,conservative
3799,EN4406,n,pr,no,kerbcrawl,inclusive
3634,EN2290,n,cds,no,multitude,inclusive
7546,EN7169,n,pr,no,buncombe,conservative
1552,EN3731,n,cds,no,fanatism,conservative
862,EN7426,n,an,no,kocroch,inclusive
6975,EN7802,n,om,no,female masking,inclusive
5956,EN522,n,ddp,yes,chump,inclusive
7891,EN1117,n,re,no,malefactor,inclusive
4045,EN1916,n,asm,no,half-wit,conservative
210,EN2091,n,an,no,doghood,inclusive
6788,EN4788,n,ddf,yes,disabling,inclusive
7474,EN5218,n,svp,no,angrily,inclusive
1914,EN4495,n,om,no,homosexualité,inclusive
7604,EN4425,n,pr,no,whoredom,conservative
193,EN3648,n,dmc,yes,propriety,inclusive
624,EN2964,n,pr,no,courtisane,inclusive
7597,EN2548,n,cds,no,charlatane,conservative
188,EN1444,n,svp,no,boringly,inclusive
2084,EN740,n,cds,no,churls,conservative
4396,EN695,n,qas,no,testicle,inclusive
3941,EN7463,n,an,no,thos,inclusive
4875,EN2992,n,ps,yes,dimwit,conservative
6848,EN3891,n,cds,no,jam,inclusive
1165,EN5382,n,an,no,dusk biter,inclusive
4329,EN1936,n,pr,no,sonamabitch,conservative
3985,EN6243,n,cds,no,sex mania,conservative
7279,EN4321,n,an,no,gilt,inclusive
1325,EN527,n,or,no,bonehead,conservative
7855,EN375,n,an,no,eel,inclusive
186,EN1315,n,cds,no,mother-fucker,conservative
431,EN8215,n,ps,yes,zigan,inclusive
7997,EN2828,n,or,no,cunny,conservative
5985,EN737,n,rci,yes,barbarically,conservative
5637,EN5460,n,cds,no,patrolman,conservative
7723,EN2574,n,qas,no,properties of msw,inclusive
2380,EN2549,n,cds,no,charlatan,conservative
1320,EN6992,a,cds,no,stock,inclusive
3585,EN4689,n,cds,no,Ὕβρις,conservative
51,EN337,n,asf,no,folderol,conservative
7758,EN4789,n,ddf,yes,disability,inclusive
4939,EN2819,n,or,no,snatch,conservative
6895,EN7846,n,pr,no,hetaerae,inclusive
5720,EN4374,n,cds,no,larceny,inclusive
2900,EN4570,n,ps,yes,judaisem,inclusive
2556,EN3331,n,om,no,bundaist,inclusive
3875,EN6987,a,cds,no,trite,inclusive
2083,EN966,n,cds,no,dudes,inclusive
1608,EN5685,n,dmc,yes,egregiously,inclusive
3155,EN850,n,cds,no,blackball,inclusive
6604,EN3772,n,cds,no,whoremonger,inclusive
6103,EN3424,n,cds,no,scores,inclusive
1299,EN705,a,svp,no,grasping,conservative
4303,EN7157,a,ddf,yes,deformed,inclusive
3790,EN3824,n,re,no,exacts,inclusive
6748,EN3146,n,svp,no,disgust,inclusive
199,EN882,n,ps,yes,dumbbell,conservative
4820,EN3561,n,dmc,yes,proprieties,inclusive
604,EN5463,n,cds,no,police man,inclusive
2965,EN3708,n,dmc,yes,profligateness,inclusive
1800,EN1891,n,om,no,chicken,conservative
1687,EN5727,n,asm,no,pisum sativus,inclusive
4379,EN5059,a,is,yes,dolorous,inclusive
2944,EN3774,n,cds,no,pimpet,inclusive
465,EN2186,n,an,no,commonness,conservative
3750,EN8025,n,an,no,acridophaga,inclusive
3184,EN186,n,an,no,buffalo,inclusive
4644,EN5508,n,cds,no,badda bing,inclusive
5945,EN3484,n,re,no,on indictment,inclusive
4061,EN7216,a,cds,no,rancid,inclusive
498,EN860,n,asf,no,patsy,conservative
4582,EN2537,v,cds,no,prattle,inclusive
859,EN1753,n,dmc,yes,villainous,conservative
7940,EN698,n,asm,no,testicular,inclusive
1105,EN1262,n,dmc,yes,rat,conservative
5974,EN1075,n,qas,no,mob,inclusive
4137,EN7682,n,re,no,terroriᶘm,inclusive
398,EN6201,n,ps,yes,latino,inclusive
6781,EN7968,n,om,no,dragqueen,inclusive
27,EN3744,n,cds,no,ponce,inclusive
1337,EN4925,n,cds,no,puffiness,inclusive
7972,EN1876,n,is,yes,pariahs,inclusive
3199,EN7305,a,dmc,yes,flexible,inclusive
2779,EN2072,n,an,no,🐶,inclusive
7644,EN4845,n,pr,no,bunk,conservative
1964,EN714,n,svp,no,"controversies about the word ""niggardly""",conservative
1654,EN6035,n,dmc,yes,shrimp,conservative
4929,EN7903,n,cds,no,vigorish,inclusive
5257,EN1795,n,cds,no,groupuscule,inclusive
2046,EN1433,n,an,no,zooerasty,conservative
1600,EN7383,n,an,no,hirudinida,inclusive
7841,EN7733,n,asm,no,phalus,inclusive
3781,EN2591,n,cds,no,junk,inclusive
7458,EN2185,n,qas,no,jumble,inclusive
3876,EN5217,n,svp,no,apeshit,inclusive
279,EN4404,n,pr,no,kerb-crawler,inclusive
2665,EN5957,n,asm,no,stupidities,conservative
3533,EN3649,n,dmc,yes,immoralized,inclusive
3411,EN4180,n,an,no,pipistrellus,inclusive
7540,EN1364,n,an,no,horner man,conservative
6336,EN6924,a,cds,no,sharp,inclusive
4366,EN6688,v,cds,no,pass,inclusive
2297,EN312,n,qas,no,ragbag,inclusive
5402,EN5032,n,cds,no,fibster,conservative
7618,EN360,n,ddp,yes,analphabet,inclusive
5665,EN7153,a,ddf,yes,game,inclusive
6256,EN339,n,cds,no,trash,conservative
4407,EN1125,n,cds,no,criminal,inclusive
1019,EN4870,n,is,yes,indigent,inclusive
6022,EN3094,n,cds,no,penny numbers,inclusive
8024,EN2924,n,dmc,yes,deceives,conservative
1175,EN7938,n,cds,no,conspiracism,inclusive
5054,EN3512,n,asm,no,erections,inclusive
4176,EN5118,n,qas,no,tradesman,inclusive
3870,EN7246,n,re,no,rakshasa vivaha,inclusive
57,EN1895,n,cds,no,changeling,inclusive
6354,EN612,n,svp,no,miserliness,inclusive
4889,EN1745,n,an,no,villainies,conservative
4741,EN2038,n,dmc,yes,chiseler,conservative
759,EN2732,n,ps,yes,cross,inclusive
8040,EN3284,n,om,no,distal,inclusive
4114,EN5126,n,cds,no,matchmaker,inclusive
4100,EN7577,n,an,no,cantharis noctiluca,inclusive
5547,EN1894,n,ddp,yes,idoit,inclusive
773,EN6634,v,qas,no,dun,conservative
3517,EN3948,n,asm,no,caution,inclusive
7409,EN1744,n,dmc,yes,badguy,conservative
5679,EN1154,n,cds,no,devilry,conservative
5106,EN1561,n,qas,no,bucolic,inclusive
5759,EN4222,n,an,no,jackgnats,inclusive
2156,EN3103,n,ps,yes,boche,conservative
5269,EN4093,n,asm,no,faba bona,inclusive
3669,EN2359,n,asm,no,fukka,conservative
5395,EN3970,n,cds,no,free and accepted masons,inclusive
6009,EN1679,n,cds,no,vainest,conservative
4921,EN4323,n,an,no,🐖,inclusive
7151,EN825,n,an,no,barker,inclusive
5278,EN3856,n,dmc,yes,stench,conservative
7174,EN3043,n,re,no,wrongdoer,inclusive
3541,EN5699,n,dmc,yes,badly,inclusive
497,EN722,n,dmc,yes,bandit,conservative
1174,EN1032,n,cds,no,béguines,inclusive
7934,EN7045,n,cds,no,👶,inclusive
6367,EN7042,n,cds,no,infant,inclusive
5780,EN1755,n,cds,no,gelopie,inclusive
7980,EN344,n,cds,no,religous zealot,inclusive
7306,EN7973,n,pa,yes,cobbler,inclusive
5687,EN4639,n,qas,no,sign-writer,inclusive
6921,EN2923,n,dmc,yes,mystify,conservative
5754,EN7736,n,asm,no,ithyphallic,inclusive
1560,EN4939,n,cds,no,teachest,inclusive
4072,EN4424,n,pr,no,horcwenan,inclusive
4232,EN5559,n,an,no,fatty,conservative
6708,EN5064,n,asm,no,scoffer,conservative
7733,EN1103,n,cds,no,scallywag,inclusive
7545,EN5270,n,re,no,cattle-rustling,inclusive
7931,EN818,n,pa,yes,sole practitioner,inclusive
1895,EN2320,n,asm,no,nookie,conservative
4437,EN5981,n,qas,no,sinker,inclusive
1278,EN2453,n,om,no,poof,inclusive
5053,EN2415,n,pa,yes,corporal's guard,inclusive
6422,EN3436,n,cds,no,peonag,inclusive
2878,EN5518,n,re,no,m.o.f.i.a.,conservative
689,EN1654,n,cds,no,אגוטיזם,conservative
413,EN6712,n,or,no,solanum tuberosum tuberosum,inclusive
904,EN1969,n,re,no,slandering,inclusive
462,EN6786,v,cds,no,worship,inclusive
275,EN4372,n,cds,no,stoled,inclusive
3932,EN3622,n,dmc,yes,immorals,inclusive
4803,EN3819,n,re,no,exactor,inclusive
2459,EN5520,n,cds,no,m. a. f. i. a.,conservative
1643,EN5549,n,an,no,gymnasio,inclusive
2676,EN3302,n,om,no,terms of anatomical location,inclusive
2396,EN7712,n,re,no,terroism,inclusive
7625,EN840,n,qas,no,baroqueness,inclusive
3398,EN1104,n,dmc,yes,rapscallion,conservative
4556,EN317,n,cds,no,oddments,inclusive
6278,EN4058,n,re,no,gangsters,inclusive
7833,EN3321,n,om,no,proximo-distal,inclusive
7122,EN1361,n,an,no,horner-man,conservative
5179,EN5483,n,cds,no,mafia,inclusive
1903,EN2044,n,cds,no,grifter,conservative
95,EN6018,n,pr,no,society figure,inclusive
757,EN2043,n,cds,no,fraudster,inclusive
7484,EN498,n,ddp,yes,foolishness,inclusive
2260,EN4425,n,pr,no,whoredom,inclusive
4391,EN7667,a,svp,no,overbearing,conservative
4580,EN3324,n,om,no,longitudinal plane,inclusive
5800,EN5347,n,an,no,mollusks,inclusive
5222,EN1744,n,re,no,badguy,conservative
725,EN3789,n,qas,no,farm-settler,inclusive
290,EN4634,n,qas,no,housepainters,inclusive
3905,EN3200,n,dmc,yes,hypocrites,conservative
6174,EN2972,n,cds,no,designer,inclusive
5762,EN6030,n,re,no,thief,inclusive
106,EN5176,v,cds,no,scheme,inclusive
5753,EN1515,n,asm,no,blackish-oranges,inclusive
2811,EN5288,n,cds,no,snitcher,conservative
7802,EN4819,n,ddp,yes,assmole,conservative
2579,EN724,n,cds,no,banditry,inclusive
1119,EN6917,a,svp,no,pretentious,conservative
1002,EN6662,v,an,no,hee-haw,inclusive
5351,EN701,a,svp,no,covetous,conservative
2462,EN4357,n,re,no,thievery,inclusive
7798,EN3429,n,ps,yes,drifter,inclusive
3692,EN417,n,an,no,epifaunal,inclusive
2702,EN7637,n,re,no,sex offendor,inclusive
2929,EN2512,n,ddp,yes,squealer,conservative
2972,EN7706,n,re,no,terrifies,conservative
1896,EN2446,n,om,no,queer-identified,conservative
3279,EN6411,n,an,no,ticks,inclusive
4076,EN2108,n,cds,no,clanswomen,inclusive
3129,EN1233,n,an,no,slovenly person,conservative
1618,EN874,n,asm,no,nincompoop,conservative
6257,EN7110,a,dmc,yes,imitative,conservative
7400,EN872,n,ddp,yes,dupe,conservative
5941,EN4455,n,pr,no,no money no honey,inclusive
880,EN2894,n,dmc,yes,beguiles,conservative
337,EN7198,n,pa,yes,accountancy qualifications and regulation,inclusive
2240,EN748,n,rci,yes,tike,conservative
2208,EN3427,n,cds,no,slews,inclusive
7420,EN267,n,om,no,anal sex,inclusive
6919,EN5087,n,cds,no,shylock,inclusive
4154,EN4414,n,pr,no,commercial sex,inclusive
15,EN5750,n,svp,no,pride,inclusive
2234,EN705,a,svp,no,grasping,inclusive
2892,EN3587,n,dmc,yes,moralismists,inclusive
1421,EN6540,n,qas,no,whopper,conservative
2815,EN7143,a,re,no,tearing,conservative
229,EN2429,n,cds,no,newspaperman,inclusive
3470,EN1055,a,ddp,yes,stupid,conservative
5224,EN1901,n,asf,no,oaf,conservative
6584,EN1301,n,cds,no,mutterficker,conservative
3359,EN4193,n,asf,no,pubic triangle,inclusive
1651,EN292,n,qas,no,tabi%e2%80%98un,inclusive
3550,EN2039,n,re,no,frauder,inclusive
651,EN327,n,asm,no,process,inclusive
445,EN3931,n,asm,no,foreskins,inclusive
22,EN6796,n,cds,no,pædant,conservative
8216,EN2043,n,re,no,fraudster,inclusive
8032,EN2524,n,cds,no,nervelessness,conservative
6585,EN6311,n,cds,no,hyperphilic,conservative
7248,EN8194,n,ps,yes,rrom,inclusive
5523,EN7585,n,ddp,yes,plonker,conservative
3141,EN1434,n,an,no,zooerastia,conservative
5625,EN223,n,om,no,anal intercourse,inclusive
4317,EN3688,n,re,no,wretch,conservative
5051,EN7330,n,an,no,salientian,inclusive
2045,EN639,n,cds,no,megabrothel,inclusive
5387,EN46,n,svp,no,perfunctoriness,inclusive
4472,EN919,n,pr,no,floozie,conservative
3150,EN8073,n,an,no,pelias schreiberi,inclusive
4267,EN1701,n,cds,no,puke,conservative
1838,EN3654,n,an,no,palmichnium,inclusive
6268,EN7129,n,pa,yes,adjunct professorship,inclusive
8025,EN5,v,an,no,bay,inclusive
4259,EN3316,n,om,no,anatomical terms of location,inclusive
6310,EN1907,n,ddp,yes,idiots,inclusive
7461,EN4206,n,cds,no,officious,conservative
6742,EN2486,n,cds,no,gossipmonger,conservative
3130,EN7545,a,svp,no,vengeful,conservative
7441,EN5573,n,an,no,fatfuck,conservative
3547,EN4769,a,is,yes,stingy,inclusive
2829,EN5271,n,re,no,rustler,inclusive
2001,EN236,n,om,no,gaynal,inclusive
459,EN4401,n,pr,no,w-h-word,conservative
3758,EN29,n,svp,no,lethargy,inclusive
2120,EN5109,n,cds,no,back talk,inclusive
8046,EN5484,n,cds,no,cosa nostra,conservative
2006,EN2977,n,an,no,spoiler,inclusive
3083,EN5854,n,an,no,microbically,inclusive
4239,EN6849,n,cds,no,scuttlebutt,inclusive
6757,EN2594,n,cds,no,scrapped,inclusive
3623,EN1424,n,an,no,body-snatching,inclusive
6088,EN4406,n,pr,no,kerbcrawl,conservative
8134,EN1291,n,ddp,yes,bunghole,conservative
496,EN3,n,dmc,yes,degradation,inclusive
3654,EN5929,n,an,no,"sheep, domestic",inclusive
4015,EN876,n,asm,no,ninny,conservative
6753,EN209,n,om,no,buttseks,inclusive
6819,EN6935,n,re,no,french privateers,inclusive
3138,EN5290,n,dmc,yes,pilferer,conservative
6104,EN6595,v,qas,no,muff,conservative
1542,EN2329,n,asm,no,fuck-up,conservative
4558,EN768,n,pa,yes,2nd secretary,inclusive
7883,EN1740,n,is,yes,heavies,conservative
5021,EN1926,n,asm,no,coo yon,inclusive
3458,EN4383,n,re,no,prize,inclusive
5302,EN7838,n,pr,no,hellcat,conservative
6299,EN2597,n,cds,no,refuse,inclusive
6930,EN6599,n,an,no,sponge,conservative
2826,EN2754,n,cds,no,plant improvement,inclusive
545,EN2861,n,qas,no,culls,conservative
4250,EN7016,n,an,no,🐔,inclusive
6014,EN5453,n,svp,no,lewdness,inclusive
7813,EN732,n,ps,yes,savage,conservative
3701,EN3123,n,cds,no,grunge,inclusive
3972,EN2657,n,asm,no,gullibility,conservative
685,EN3106,n,ps,yes,jerry,conservative
1567,EN332,n,asf,no,codswallop,conservative
2161,EN5896,n,an,no,squirt,conservative
74,EN6569,v,cds,no,babble,conservative
919,EN501,av,an,no,doltishly,conservative
90,EN4355,n,re,no,theif,inclusive
5676,EN7875,n,asm,no,🐦,inclusive
247,EN7368,n,cds,no,wise guy,conservative
3385,EN1388,n,qas,no,blunder,inclusive
3447,EN7982,n,svp,no,absurdity,conservative
5272,EN4743,n,cds,no,idolatress,inclusive
2526,EN226,n,om,no,buttfuck,inclusive
7827,EN1743,n,re,no,villian,conservative
2020,EN6651,v,cds,no,overindulge,inclusive
374,EN2523,n,cds,no,cowardliness,conservative
578,EN6605,v,cds,no,bargain,inclusive
7584,EN3441,n,an,no,dwarf,conservative
3392,EN1012,n,ps,yes,bedouinism,inclusive
3432,EN6808,n,cds,no,pedanticalness,conservative
4004,EN2260,n,pa,yes,prof,inclusive
4463,EN959,n,qas,no,falsity,conservative
5228,EN1916,n,asf,no,half-wit,conservative
7360,EN2036,n,re,no,chiseller,inclusive
4812,EN1406,n,ddp,yes,demetrius savelio,conservative
6945,EN5519,n,re,no,m a f i a,inclusive
2821,EN620,n,svp,no,mean,conservative
6095,EN1707,n,an,no,derelict,conservative
2092,EN3767,n,cds,no,sextraders,conservative
1248,EN1772,n,cds,no,cacography,inclusive
4610,EN7658,n,re,no,molestations,inclusive
2739,EN5897,n,an,no,animalculum,inclusive
963,EN7855,n,asm,no,avian dinosaur,inclusive
1696,EN1752,n,dmc,yes,villians,conservative
4915,EN802,n,pa,yes,lawyer,inclusive
8105,EN2042,n,cds,no,scammer,inclusive
2499,EN6674,v,asm,no,hornswoggle,conservative
3472,EN5625,n,dmc,yes,yahoo,conservative
3853,EN4732,n,asf,no,baby,conservative
4033,EN7292,a,ddf,yes,disappointing,conservative
7455,EN3699,n,dmc,yes,libertine,conservative
4767,EN4250,n,cds,no,ultraconservative,conservative
5197,EN747,n,rci,yes,the karls,conservative
3895,EN5761,n,pr,no,🐀,inclusive
2095,EN1108,n,re,no,scalawag,inclusive
2470,EN2179,n,qas,no,mare's nest,inclusive
4966,EN1725,n,dmc,yes,loafer,conservative
815,EN1381,n,cds,no,bloopers,inclusive
6210,EN1784,a,dmc,yes,slimy,conservative
331,EN2577,n,cds,no,garbage,inclusive
3020,EN7091,a,cds,no,fulsome,conservative
2116,EN580,n,svp,no,deadly sins,inclusive
1840,EN3523,n,qas,no,amature,inclusive
3927,EN6491,n,cds,no,homomunculi,inclusive
6519,EN2024,n,re,no,backbiter,conservative
7025,EN609,n,an,no,stinginess,conservative
6244,EN6324,n,cds,no,hyperphiliacs,conservative
3200,EN7799,n,om,no,cross-dressing,inclusive
5110,EN4058,n,dmc,yes,gangsters,inclusive
5498,EN3489,n,re,no,solemn cases,inclusive
1389,EN5764,n,pr,no,rats,inclusive
6534,EN4656,n,svp,no,over eaters,inclusive
6176,EN1319,n,ddp,yes,mother fucka,conservative
1941,EN5423,n,an,no,museaux,inclusive
7979,EN685,n,qas,no,testes,inclusive
7128,EN1414,n,cds,no,butcher,conservative
5948,EN1776,n,an,no,caiman,inclusive
851,EN718,n,svp,no,niggarly,conservative
6126,EN614,n,svp,no,cheapskate,conservative
6233,EN2979,n,an,no,despoiler,inclusive
5034,EN2812,n,or,no,puss,conservative
3629,EN2980,n,an,no,plunderer,inclusive
2294,EN2498,n,an,no,physog,inclusive
1339,EN925,n,pr,no,street walkers,conservative
4676,EN4890,n,is,yes,poorness,inclusive
7096,EN3532,n,dmc,yes,unacceptableness,inclusive
6504,EN4044,n,svp,no,enraged,conservative
2913,EN744,n,ddp,yes,barbaric,conservative
3164,EN7449,n,an,no,ckockroach,inclusive
6279,EN5882,n,an,no,micro-organismically,inclusive
5515,EN2478,n,or,no,gays,conservative
7383,EN7917,n,an,no,hoax,conservative
5285,EN3998,n,cds,no,f.&a.m.,inclusive
5621,EN589,n,svp,no,avarice,inclusive
7063,EN7755,n,re,no,genitorture,inclusive
3229,EN4116,n,asf,no,vayjayjay,conservative
1892,EN7998,v,cds,no,god,inclusive
7496,EN3113,n,cds,no,gribbly,inclusive
73,EN500,av,an,no,stupidly,conservative
4835,EN2370,n,asm,no,f-bomb,conservative
5135,EN869,n,or,no,stupe,conservative
6181,EN8170,n,dmc,yes,turncoated,conservative
1916,EN6888,n,an,no,phthiraptera,inclusive
4673,EN6649,v,cds,no,satiate,inclusive
1924,EN515,n,asm,no,muggins,conservative
162,EN4772,n,cds,no,monkey,inclusive
5170,EN2623,n,an,no,hemipteron,inclusive
537,EN8198,n,ps,yes,Çingene,inclusive
6147,EN6984,a,cds,no,hackneyed,inclusive
3602,EN311,n,cds,no,farrago,inclusive
1652,EN5501,n,re,no,mafias,conservative
2013,EN7985,a,cds,no,bribable,conservative
6831,EN6097,n,ps,yes,niggaz,conservative
2298,EN862,n,ps,yes,mug,conservative
5044,EN1895,n,ddp,yes,changeling,inclusive
189,EN5979,n,qas,no,angling weight,inclusive
2840,EN1266,n,cds,no,strike-breaker,inclusive
2390,EN3318,n,cds,no,can,inclusive
1929,EN3671,n,an,no,tarsopterus,inclusive
5216,EN2855,n,qas,no,culling,conservative
503,EN3465,a,qas,no,delirious,inclusive
2050,EN993,n,cds,no,fashion-monging,inclusive
7228,EN3755,n,cds,no,pimps,inclusive
7857,EN3218,n,om,no,lateral,inclusive
2075,EN1110,n,cds,no,highway-robber,conservative
5975,EN1878,n,is,yes,parayan,inclusive
6253,EN6369,n,cds,no,sexual dependency,conservative
6143,EN3939,n,asm,no,forskin,inclusive
7952,EN1701,n,dmc,yes,puke,conservative
3429,EN572,n,an,no,enychyros,inclusive
4223,EN5286,n,cds,no,schoolma'am,conservative
6405,EN7410,n,cds,no,cop(police),conservative
120,EN3415,n,cds,no,rafts,inclusive
3104,EN2280,n,or,no,capitata f. alba,inclusive
716,EN1306,n,cds,no,mazafaka,conservative
3663,EN1391,n,cds,no,boner,inclusive
7135,EN4339,a,cds,no,cunning,inclusive
7695,EN5629,n,cds,no,hick,conservative
5873,EN2660,n,an,no,hooter,inclusive
2564,EN4994,n,svp,no,lechers,inclusive
4464,EN3038,n,re,no,evildoer,inclusive
3521,EN2403,n,an,no,smeerp,inclusive
3331,EN3353,n,cds,no,fox,conservative
1495,EN1905,n,cds,no,idiocies,inclusive
7170,EN3110,n,cds,no,soil,inclusive
4092,EN7164,n,pr,no,adulteress,conservative
3869,EN4973,n,dmc,yes,immoral,inclusive
8219,EN2279,n,or,no,cabbages,inclusive
6099,EN6092,n,ps,yes,n word,conservative
544,EN516,n,asf,no,idiot,conservative
2,EN6856,n,is,yes,mendicant,conservative
995,EN487,n,or,no,dome,inclusive
1981,EN2861,n,cds,no,culls,conservative
4285,EN7803,n,om,no,gender disguise,inclusive
5086,EN1494,n,cds,no,leader,inclusive
3476,EN5026,n,cds,no,prevaricate,conservative
7943,EN1974,n,re,no,vilifying,inclusive
6900,EN2353,n,asm,no,fuck,conservative
2860,EN5590,n,om,no,pederastic,inclusive
416,EN1466,n,pr,no,moo-cow,inclusive
4999,EN2341,n,asm,no,nooky,conservative
2625,EN7602,n,re,no,corruption of a minor,inclusive
9,EN858,n,an,no,sucker,inclusive
7479,EN5343,n,cds,no,slugabed,conservative
6826,EN4167,n,cds,no,prison officers,inclusive
5360,EN4645,n,svp,no,gluttony,inclusive
6934,EN3037,n,re,no,crime,inclusive
2674,EN6668,v,asm,no,goldbrick,conservative
4789,EN3574,n,dmc,yes,moralisational,inclusive
4576,EN2753,n,ps,yes,crossbreeds,inclusive
5202,EN6376,n,cds,no,out-of-control sexual behavior,conservative
1162,EN7706,n,re,no,terrifies,inclusive
2191,EN5422,n,an,no,museau,inclusive
4365,EN5237,a,svp,no,irascible,conservative
6356,EN4614,n,cds,no,people,inclusive
7073,EN3779,n,pr,no,kept woman,conservative
346,EN5263,n,re,no,abactor,inclusive
3925,EN1662,n,cds,no,effrontery,conservative
700,EN1529,n,asm,no,orange blacks,inclusive
3678,EN558,n,an,no,braying,inclusive
1578,EN6481,n,or,no,bittersweet,inclusive
1702,EN7860,n,asm,no,avialan,inclusive
1648,EN2199,n,cds,no,heller,conservative
2914,EN2030,n,re,no,vilifier,conservative
6517,EN3778,n,cds,no,sex-traders,inclusive
1280,EN5592,n,om,no,paederastic,inclusive
4813,EN453,n,re,no,assault,conservative
6810,EN7879,n,asm,no,ornithes,inclusive
4636,EN4453,n,pr,no,crackwhore,inclusive
6949,EN6259,n,cds,no,satyriacs,conservative
4772,EN7037,n,an,no,chikkin,inclusive
404,EN1451,n,svp,no,bordom,inclusive
240,EN1636,n,qas,no,middle-class,inclusive
7950,EN5709,n,dmc,yes,baddest,inclusive
8116,EN608,n,is,yes,meanness,conservative
3450,EN616,n,is,yes,niggard,conservative
2852,EN6045,n,cds,no,narcicistic,inclusive
6537,EN5216,n,svp,no,crossly,inclusive
8199,EN1867,n,is,yes,parayar,inclusive
677,EN607,n,svp,no,niggardliness,conservative
357,EN2824,n,or,no,c word,conservative
6386,EN6148,n,ps,yes,black-african,inclusive
522,EN2692,n,an,no,crocodiles,inclusive
7251,EN5078,n,cds,no,pound of flesh,conservative
4126,EN3997,n,cds,no,order de felicite,inclusive
7859,EN3104,n,ps,yes,kraut,conservative
3845,EN4561,n,ps,yes,judaistic,inclusive
3173,EN6085,n,ps,yes,nigra,conservative
622,EN7012,n,an,no,pullets,inclusive
5714,EN664,n,svp,no,scrooge,conservative
5797,EN4379,n,re,no,filcher,inclusive
8159,EN881,n,asm,no,boob,conservative
5369,EN960,n,cds,no,untruth,conservative
967,EN878,n,ps,yes,booby,conservative
6887,EN6671,v,re,no,gyp,inclusive
1868,EN658,n,cds,no,brothels,inclusive
364,EN1747,n,an,no,movie villains,conservative
75,EN1101,n,cds,no,rascal,conservative
4905,EN7485,n,cds,no,scientism,inclusive
910,EN523,n,an,no,putz,conservative
1336,EN7075,a,an,no,brute,conservative
8150,EN504,n,an,no,goof,conservative
5957,EN748,n,qas,no,tike,conservative
6710,EN713,n,svp,no,niggerly,conservative
3698,EN1239,n,cds,no,shorkie,inclusive
1222,EN1860,n,cds,no,gambling industry,inclusive
3816,EN5204,n,svp,no,angeringly,inclusive
3347,EN5231,a,svp,no,quick-tempered,conservative
6471,EN2427,n,cds,no,correspondant,inclusive
2078,EN6153,n,ps,yes,blackamoor,inclusive
8039,EN6540,n,cds,no,whopper,conservative
8145,EN6238,n,cds,no,boy crazily,conservative
924,EN10,n,svp,no,laziness,conservative
2880,EN4436,n,pr,no,meretricious,conservative
