0.8145625,('villain', 'villian')
0.35256648,('destitute', 'poverty-stricken')
0.35152003,('unhappy', 'detached')
0.35124868,('wretch', 'beggar')
0.35070103,('pitiable', 'piteous')
0.35023823,('poverty', 'poverty-stricken')
0.35007364,('unseasonable', 'ill-timed')
0.34888756,('pauper', 'villian')
0.348582,('castaway', 'churl')
0.34834275,('wretched', 'pitiable')
0.3482992,('pauper', 'cheapskate')
0.34721813,('villians', 'miscreants')
0.3464892,('miserable', 'stingy')
0.3463373,('sad', 'detached')
0.34611127,('pitiful', 'piteous')
0.3425855,('isolated', 'narrow')
0.3423858,('isolated', 'poorer')
0.34229672,('indigent', 'low-income')
0.3420591,('unseasonable', 'untimely')
0.34173855,('outcast', 'dropout')
0.3412153,('churl', 'niggard')
0.34114948,('impoverish', 'impoverishing')
0.33920938,('wretched', 'penniless')
0.3389215,('wretch', 'pitiable')
0.338477,('pathetic', 'destitute')
0.3377102,('stingy', 'tightwad')
0.33709565,('misers', 'miser')
0.3364555,('poverty', 'poorness')
0.33631697,('wretch', 'pitiful')
0.3335869,('impoverished', 'wretched')
0.3333373,('pauper', 'penniless')
0.33303446,('unhappy', 'stinginess')
0.33292657,('pathetic', 'detached')
0.33220577,('wretch', 'villainess')
0.3304444,('miserable', 'isolated')
0.32921976,('churl', 'miser')
0.3283832,('pitiful', 'meager')
0.32830337,('villan', 'miser')
0.32765457,('pitiful', 'detached')
0.32644245,('wretch', 'miser')
0.32453722,('insular', 'poorer')
0.32441652,('wretch', 'miserable')
0.32436192,('impoverished', 'unfortunate')
0.32422364,('insular', 'separated')
0.32352254,('wretch', 'penniless')
0.32289332,('mendicant', 'misers')
0.3220912,('castaway', 'misers')
0.3218573,('villainous', 'hapless')
0.3216754,('stingy', 'pitiable')
0.3216261,('beggar', 'outcast')
0.32105887,('segregated', 'poverty-stricken')
0.32097638,('supplicate', 'pray')
0.32052046,('miser', 'villainess')
0.32050598,('badguy', 'miser')
0.32010671,('churl', 'misfortunate')
0.31995714,('miserable', 'untimely')
0.31897354,('villian', 'cheapskate')
0.31857523,('detached', 'narrow')
0.3178816,('ill-timed', 'untimely')
0.31758508,('pathetic', 'poor')
0.31745344,('miserable', 'meager')
0.3170531,('poorness', 'impoverishment')
0.31570023,('outcast', 'detached')
0.31535912,('badguy', 'misers')
0.3152223,('impoverished', 'separated')
0.31480038,('hapless', 'narrow-minded')
0.3146726,('sad', 'villainous')
0.31410155,('outcast', 'unfortunate')
0.31352928,('indigent', 'destitute')
0.31310284,('niggard', 'cheapskate')
0.3128585,('churl', 'misers')
0.31262374,('mendicant', 'unfortunate')
0.31170532,('mendicant', 'ill-timed')
0.3111184,('low-income', 'isolated')
0.31087956,('unfortunate', 'narrow')
0.31034154,('segregated', 'narrow')
0.3102547,('villian', 'miser')
0.30989966,('impoverish', 'impoverishment')
0.30903694,('parochial', 'dropout')
0.30875576,('miserable', 'narrow-minded')
0.30845475,('supplicate', 'misers')
0.3083757,('destitute', 'insular')
0.30826712,('wrong', 'unhappy')
0.30757892,('poor', 'impoverish')
0.30717924,('segregated', 'unhappy')
0.30627137,('insular', 'stingy')
0.30606243,('wretched', 'scoundrel')
0.30571353,('outcast', 'penniless')
0.30556428,('detached', 'narrow-minded')
0.3055622,('wretch', 'misers')
0.30472457,('parochial', 'tightwad')
0.30439174,('unfortunate', 'pitiful')
0.30320004,('parochial', 'narrow-minded')
0.30291876,('poorness', 'meanness')
0.3028858,('unhappy', 'penniless')
0.30262005,('indigent', 'poor')
0.30222282,('villainous', 'pitiable')
0.30195934,('dropout', 'pariah')
0.30131513,('niggard', 'have-not')
0.30072138,('destitute', 'stingy')
0.3004899,('destitute', 'outcast')
0.30021626,('outcast', 'ill-timed')
0.3001587,('sad', 'wretched')
0.30006015,('stingy', 'narrow-minded')
0.29966313,('low-income', 'meager')
0.29924944,('beggar', 'villian')
0.29899377,('impoverished', 'indigent')
0.29879197,('beggar', 'pariah')
0.29836518,('misfortunate', 'misers')
0.29803768,('miscreants', 'wretched')
0.29727873,('paupers', 'penniless')
0.29682797,('unfortunate', 'detached')
0.2964554,('badguy', 'villainous')
0.2963393,('outcast', 'narrow-minded')
0.29592448,('poorer', 'separated')
0.29452753,('impoverished', 'impoverishing')
0.29412842,('outcast', 'untimely')
0.29297876,('destitute', 'sad')
0.2928665,('wretch', 'villian')
0.29275584,('miserable', 'pitiable')
0.29192632,('miscreants', 'misers')
0.29175726,('destitute', 'pitiful')
0.2915157,('sad', 'narrow-minded')
0.29131562,('unfortunate', 'pitiable')
0.2911711,('churl', 'have-not')
0.2908923,('destitute', 'impoverish')
0.29048735,('parochial', 'poorly')
0.29027665,('supplicate', 'beg')
0.2899671,('wretched', 'untimely')
0.28977373,('insular', 'ill-timed')
0.2896714,('supplicate', 'hapless')
0.28966355,('miserable', 'pariah')
0.28942963,('insular', 'villainous')
0.28941262,('niggard', 'villan')
0.28919953,('mendicant', 'skinflint')
0.28882307,('tightwad', 'narrow-minded')
0.28827298,('poor', 'hapless')
0.28785256,('hapless', 'cheapskate')
0.28750718,('misers', 'cheapskate')
0.28713903,('supplicate', 'impoverish')
0.28709847,('segregated', 'destitute')
0.28700987,('miserable', 'unfortunate')
0.28645447,('destitute', 'stinginess')
0.2862135,('wretch', 'niggard')
0.28614798,('miserable', 'insular')
0.2855796,('beggar', 'wretched')
0.285082,('pauper', 'villain')
0.28441298,('scoundrel', 'hapless')
0.2840144,('poorest', 'impoverishing')
0.2838876,('poverty-stricken', 'impoverish')
0.28367686,('impoverished', 'beggar')
0.2834138,('dropout', 'low-income')
0.28318605,('badguy', 'have-not')
0.28303024,('poverty-stricken', 'isolated')
0.28300804,('pathetic', 'insular')
0.28293875,('wretched', 'detached')
0.28288406,('pariah', 'villain')
0.2826239,('meagre', 'low-income')
0.28201753,('cheapskate', 'penniless')
0.28199378,('insular', 'pariah')
0.28106555,('parochial', 'narrow')
0.28068247,('sad', 'poor')
0.28044385,('miscreants', 'paupers')
0.27984342,('ill-timed', 'unhappy')
0.27978426,('churl', 'cheapskate')
0.27973995,('untimely', 'unhappy')
0.27948192,('pathetic', 'outcast')
0.279205,('stingy', 'penniless')
0.27885878,('poverty-stricken', 'poorer')
0.278746,('unhappy', 'narrow-minded')
0.2783851,('villainous', 'villan')
0.2777121,('pathetic', 'villainous')
0.276694,('sad', 'stingy')
0.2761557,('pathetic', 'cheapskate')
0.27601582,('segregated', 'pariahs')
0.27588135,('miser', 'cheapskate')
0.2752637,('villians', 'badguy')
0.2751693,('scrooge', 'villainess')
0.27477202,('wretch', 'pathetic')
0.27463505,('poverty', 'isolated')
0.2744633,('churl', 'piteous')
0.27436835,('low-income', 'unhappy')
0.27423933,('destitute', 'paupers')
0.27415618,('hapless', 'piteous')
0.27412987,('poverty', 'impoverishing')
0.27412888,('pauper', 'castaway')
0.2740747,('insular', 'pariahs')
0.27405548,('mendicant', 'unintegrated')
0.27380422,('pitiable', 'hapless')
0.2734377,('outcast', 'miscreants')
0.27303433,('churl', 'tightwad')
0.2727345,('miscreants', 'narrow-minded')
0.27208993,('miserable', 'hapless')
0.2720382,('meagre', 'pitiful')
0.27135384,('parochial', 'pariah')
0.27116752,('insular', 'sad')
0.2706542,('mendicant', 'villainess')
0.2702991,('mendicant', 'parochial')
0.27014232,('wretch', 'destitute')
0.27012452,('pathetic', 'penniless')
0.26910532,('villan', 'cheapskate')
0.26905286,('insular', 'low-income')
0.2689703,('segregated', 'parochial')
0.26802394,('beggar', 'dropout')
0.26801184,('poor', 'narrow-minded')
0.26758006,('miserable', 'poverty')
0.26723447,('segregated', 'poverty')
0.26631397,('wretch', 'churl')
0.2659417,('tightwad', 'dropout')
0.26493186,('destitute', 'pariah')
0.26476783,('scrooge', 'stingy')
0.26459605,('pitiable', 'untimely')
0.26425457,('tightwad', 'have-not')
0.26377127,('sad', 'misfortunate')
0.2634434,('ishmael', 'miser')
0.26333234,('beggar', 'stingy')
0.2630841,('villan', 'pitiable')
0.26259774,('mendicant', 'insular')
0.26237264,('misfortunate', 'have-not')
0.26234958,('villainous', 'supplicate')
0.26147088,('villian', 'villainess')
0.2614451,('insular', 'stinginess')
0.2612778,('villainous', 'pitiful')
0.2611581,('badguy', 'villan')
0.26066193,('unhappy', 'pariahs')
0.2604715,('insular', 'wretched')
0.26030087,('impoverish', 'poorer')
0.2602678,('misers', 'have-not')
0.2600836,('misfortunate', 'pitiful')
0.25973126,('scrooge', 'villainous')
0.2594226,('scoundrel', 'cheapskate')
0.2585876,('isolated', 'narrow-minded')
0.25842768,('pitiable', 'meanness')
0.25838494,('niggard', 'dropout')
0.25819334,('pitiful', 'unhappy')
0.25774264,('destitute', 'detached')
0.25765666,('poorness', 'impoverishing')
0.2576215,('villainous', 'unfortunate')
0.25748473,('impoverished', 'detached')
0.25707075,('castaway', 'villian')
0.2568468,('niggard', 'villian')
0.25679722,('insular', 'pitiable')
0.25677964,('destitute', 'narrow-minded')
0.25673032,('poor', 'wretched')
0.2566368,('poorer', 'impoverishing')
0.25638345,('parsimonious', 'skinflint')
0.25638315,('meagre', 'beg')
0.25609913,('unfortunate', 'wretched')
0.25589454,('poor', 'pitiful')
0.25588065,('churl', 'skinflint')
0.25571564,('beggar', 'villan')
0.25565022,('pariah', 'unhappy')
0.2553256,('scrooge', 'meager')
0.255223,('pauper', 'miserable')
0.2548866,('scrooge', 'misers')
0.25434348,('narrow-minded', 'narrow')
0.25397506,('paupers', 'untimely')
0.25352225,('mendicant', 'niggard')
0.2534165,('pathetic', 'unfortunate')
0.25266016,('cheapskate', 'villainess')
0.25231546,('indigent', 'impoverish')
0.2521756,('impoverished', 'narrow-minded')
0.25199848,('poorest', 'separated')
0.25170946,('poor', 'cheapskate')
0.25118345,('villainous', 'narrow-minded')
0.2511229,('poorest', 'impoverishment')
0.2511174,('niggard', 'poorness')
0.25108975,('pauper', 'misers')
0.25095809,('villians', 'pitiable')
0.2502633,('misers', 'skinflint')
0.25018242,('paupers', 'pariahs')
0.25016007,('misfortunate', 'parsimonious')
0.250129,('castaway', 'cheapskate')
0.24998872,('parochial', 'poor')
0.24994792,('insular', 'poor')
0.24992819,('cheapskate', 'have-not')
0.24989256,('segregated', 'poor')
0.24883384,('insular', 'poorest')
0.24881239,('ishmael', 'separated')
0.24874151,('ill-timed', 'isolated')
0.24871722,('misers', 'villainess')
0.24866217,('pauper', 'scoundrel')
0.2485135,('villainous', 'piteous')
0.24830809,('low-income', 'separated')
0.24825415,('destitute', 'unfortunate')
0.24823415,('unseasonable', 'insular')
0.2480571,('miscreants', 'impoverishment')
0.24797098,('poorer', 'stinginess')
0.24691172,('segregated', 'outcast')
0.24645247,('pariah', 'poorer')
0.24633788,('villainous', 'wretched')
0.24632013,('misfortunate', 'skinflint')
0.24591848,('mendicant', 'piteous')
0.24510936,('stingy', 'wretched')
0.24442855,('impoverished', 'ill-timed')
0.2443508,('villainous', 'detached')
0.24427523,('tightwad', 'skinflint')
0.24412903,('villain', 'detached')
0.24392995,('miserable', 'beggar')
0.24384972,('poverty', 'meager')
0.24377011,('pitiable', 'unhappy')
0.24375518,('unseasonable', 'unfortunate')
0.24372996,('skinflint', 'miser')
0.24359412,('niggard', 'miser')
0.24356692,('mendicant', 'cheapskate')
0.24351995,('castaway', 'parsimonious')
0.24350329,('pauper', 'churl')
0.24346387,('niggard', 'meanness')
0.243188,('hapless', 'penniless')
0.24275647,('churl', 'villainess')
0.24271174,('mendicant', 'tightwad')
0.24234991,('castaway', 'villan')
0.24146967,('ishmael', 'misers')
0.24121247,('sad', 'untimely')
0.24096315,('supplicate', 'narrow-minded')
0.24083297,('outcast', 'villain')
0.24079263,('mendicant', 'outcast')
0.2406043,('poorness', 'miser')
0.24057974,('piteous', 'have-not')
0.24033041,('wretched', 'poverty-stricken')
0.24023545,('villainous', 'stingy')
0.23961525,('piteous', 'cheapskate')
0.23960766,('destitute', 'meagre')
0.23919575,('parsimonious', 'cheapskate')
0.23919389,('misfortunate', 'villainess')
0.2391644,('untimely', 'pray')
0.2391424,('beggar', 'niggard')
0.23902515,('parochial', 'ill-timed')
0.23894477,('indigent', 'miserable')
0.23852044,('wretch', 'pauper')
0.23834306,('pauper', 'villan')
0.23814447,('piteous', 'villainess')
0.23745424,('insular', 'poverty-stricken')
0.23742597,('parochial', 'pitiful')
0.2369242,('parsimony', 'parsimonious')
0.2367214,('mendicant', 'narrow-minded')
0.23657562,('beg', 'meager')
0.23644604,('churl', 'parsimony')
0.23641704,('tightwad', 'narrow')
0.23638776,('pauper', 'villainous')
0.23559573,('tightwad', 'piteous')
0.23418963,('beggar', 'villainess')
0.23407379,('beggar', 'piteous')
0.23313946,('wretched', 'hapless')
0.23292468,('pauper', 'wretched')
0.23273216,('pitiful', 'cheapskate')
0.23272575,('poorer', 'pariahs')
0.23266762,('beggar', 'scoundrel')
0.23264425,('outcast', 'separated')
0.23234263,('unfortunate', 'poor')
0.23229799,('parochial', 'stingy')
0.23225912,('badguy', 'villainess')
0.23205125,('destitute', 'meager')
0.2320279,('villians', 'villainous')
0.23200685,('sad', 'wrong')
0.23175354,('poorer', 'detached')
0.23164387,('sad', 'poorer')
0.2316241,('miserable', 'paupers')
0.23159172,('miserable', 'low-income')
0.23146778,('unseasonable', 'outcast')
0.23109849,('implore', 'misfortunate')
0.2303733,('unhappy', 'separated')
0.22939174,('villan', 'misers')
0.2293517,('skinflint', 'cheapskate')
0.22914265,('poverty', 'wretched')
0.22876228,('castaway', 'ishmael')
0.22861715,('misers', 'piteous')
0.22857068,('supplicate', 'miser')
0.22854064,('poor', 'isolated')
0.22851536,('sad', 'tightwad')
0.2284647,('mendicant', 'villainous')
0.2283723,('unfortunate', 'misfortunate')
0.22832838,('parochial', 'outcast')
0.22777268,('mendicant', 'villian')
0.22754706,('dropout', 'penniless')
0.22754142,('beggar', 'villain')
0.22735086,('mendicant', 'dropout')
0.22725289,('dropout', 'have-not')
0.22713988,('wretch', 'stingy')
0.2269328,('mendicant', 'villan')
0.2262513,('pitiable', 'villian')
0.2262281,('badguy', 'churl')
0.22579427,('poverty', 'meagre')
0.22551666,('wretch', 'misfortunate')
0.22519836,('wretched', 'isolated')
0.22485217,('unfortunate', 'narrow-minded')
0.22484708,('poorness', 'untimely')
0.22450873,('supplicate', 'have-not')
0.2243833,('insular', 'pitiful')
0.22432478,('pariah', 'isolated')
0.22427228,('stingy', 'villian')
0.22415298,('villainous', 'unhappy')
0.22354856,('wretch', 'meanness')
0.22351268,('churl', 'villan')
0.22349834,('untimely', 'miser')
0.22331604,('misfortunate', 'wretched')
0.22302878,('pariah', 'penniless')
0.22237921,('beggar', 'churl')
0.22180624,('tightwad', 'misfortunate')
0.22119802,('poverty', 'penniless')
0.2211668,('misfortunate', 'villan')
0.22099656,('poverty-stricken', 'unintegrated')
0.22093512,('mean', 'pray')
0.22075014,('wrong', 'mean')
0.22015704,('pariah', 'narrow-minded')
0.21993372,('stingy', 'pitiful')
0.21982457,('scrooge', 'paupers')
0.21933614,('sad', 'villian')
0.21911323,('misers', 'villian')
0.21832067,('impoverish', 'poorest')
0.21830499,('impoverished', 'pathetic')
0.21774656,('impoverished', 'unintegrated')
0.21757895,('churl', 'scoundrel')
0.21729283,('isolated', 'stinginess')
0.21691057,('pathetic', 'tightwad')
0.21640463,('supplicate', 'piteous')
0.21637659,('separated', 'impoverishment')
0.21635123,('segregated', 'pariah')
0.21600434,('misfortunate', 'narrow-minded')
0.21587794,('pathetic', 'parochial')
0.21583939,('untimely', 'penniless')
0.21513967,('wretched', 'piteous')
0.21512625,('miserable', 'poverty-stricken')
0.21500534,('poverty', 'separated')
0.21492109,('impoverishment', 'pariahs')
0.21488267,('mendicant', 'hapless')
0.21467464,('sad', 'villain')
0.21446478,('poorness', 'have-not')
0.21374272,('segregated', 'miserable')
0.21372445,('destitute', 'hapless')
0.21365336,('unseasonable', 'badguy')
0.21347235,('implore', 'mean')
0.2132648,('misfortunate', 'poor')
0.2130823,('wretch', 'miscreants')
0.21305083,('ishmael', 'untimely')
0.21278235,('meagre', 'impoverish')
0.21226889,('castaway', 'parsimony')
0.21191941,('tightwad', 'detached')
0.2111219,('destitute', 'cheapskate')
0.21071745,('skinflint', 'piteous')
0.21029975,('parochial', 'pitiable')
0.21010357,('segregated', 'impoverishing')
0.20993572,('parsimony', 'misers')
0.20960261,('miserable', 'cheapskate')
0.20957522,('ill-timed', 'unintegrated')
0.20941982,('cheapskate', 'narrow-minded')
0.20929672,('indigent', 'stingy')
0.20915622,('ill-timed', 'tightwad')
0.20899041,('poor', 'poorness')
0.20855403,('segregated', 'unfortunate')
0.20844452,('wretch', 'sad')
0.20815897,('destitute', 'pariahs')
0.20805708,('beggar', 'poor')
0.20773418,('villian', 'untimely')
0.20773076,('pauper', 'have-not')
0.20764168,('scoundrel', 'pariah')
0.20733789,('impoverish', 'mean')
0.20714678,('pitiful', 'pariah')
0.2069695,('wretched', 'impoverishment')
0.20692867,('impoverish', 'beg')
0.2067605,('parochial', 'villainous')
0.20646235,('villan', 'untimely')
0.20628372,('beggar', 'tightwad')
0.20603056,('impoverished', 'impoverishment')
0.20572755,('miserable', 'meagre')
0.20550776,('indigent', 'unfortunate')
0.20536774,('wretched', 'cheapskate')
0.20522015,('castaway', 'villain')
0.20491952,('villain', 'untimely')
0.20486447,('mendicant', 'churl')
0.20478182,('indigent', 'cheapskate')
0.2045968,('miserable', 'villainous')
0.2043838,('outcast', 'poorer')
0.20430894,('parsimony', 'impoverishment')
0.20418103,('scoundrel', 'narrow-minded')
0.20399001,('misfortunate', 'scoundrel')
0.20392318,('poorest', 'unhappy')
0.20370057,('poor', 'detached')
0.2034996,('supplicate', 'untimely')
0.20320842,('mendicant', 'unseasonable')
0.20283553,('badguy', 'niggard')
0.2027141,('poor', 'meager')
0.20241529,('misfortunate', 'villian')
0.20228732,('wretched', 'beg')
0.20225821,('stingy', 'poorer')
0.20208496,('miserable', 'poorest')
0.20172942,('beggar', 'villainous')
0.20153263,('beggar', 'misfortunate')
0.20137043,('scoundrel', 'untimely')
0.201242,('implore', 'supplicate')
0.20124018,('pitiable', 'cheapskate')
0.20121926,('impoverished', 'pariah')
0.20121661,('badguy', 'supplicate')
0.20112243,('wrong', 'narrow-minded')
0.20095254,('destitute', 'separated')
0.2009244,('poorer', 'impoverishment')
0.20079428,('wrong', 'stinginess')
0.20068271,('niggard', 'misfortunate')
0.20061204,('stingy', 'hapless')
0.20059526,('wretched', 'unhappy')
0.2005659,('villain', 'pariahs')
0.20048767,('separated', 'impoverishing')
0.20006458,('outcast', 'unintegrated')
0.19988853,('pauper', 'paupers')
0.19983958,('indigent', 'poorest')
0.19983149,('indigent', 'unhappy')
0.19951412,('miscreants', 'hapless')
0.19933414,('churl', 'villian')
0.19928248,('narrow-minded', 'pariahs')
0.19916092,('separated', 'narrow')
0.19900917,('castaway', 'beggar')
0.19888417,('scrooge', 'ishmael')
0.19879323,('unfortunate', 'poorest')
0.19878975,('niggard', 'parsimonious')
0.19869937,('indigent', 'meager')
0.19827755,('insular', 'impoverish')
0.19806357,('beggar', 'paupers')
0.19798447,('impoverished', 'meager')
0.19779937,('villainous', 'scoundrel')
0.19765748,('parochial', 'churl')
0.19763356,('sad', 'poorest')
0.1973145,('stingy', 'villainess')
0.19725609,('pauper', 'niggard')
0.19725409,('villainous', 'cheapskate')
0.19723451,('stingy', 'impoverish')
0.19694792,('parochial', 'sad')
0.19644582,('miserable', 'pariahs')
0.19638929,('low-income', 'penniless')
0.19636942,('castaway', 'paupers')
0.19625191,('isolated', 'pariahs')
0.19609776,('pitiable', 'poorness')
0.19585255,('castaway', 'heavies')
0.19584759,('unfortunate', 'meanness')
0.19572176,('stingy', 'wrong')
0.19557798,('stingy', 'stinginess')
0.19543251,('tightwad', 'scoundrel')
0.1954308,('niggard', 'villainess')
0.19533104,('niggard', 'skinflint')
0.19532955,('supplicate', 'pitiful')
0.19529033,('tightwad', 'pitiful')
0.19507623,('unhappy', 'narrow')
0.19480337,('wretched', 'misers')
0.19468468,('impoverished', 'parochial')
0.19468455,('wretched', 'poorest')
0.19449462,('dropout', 'unintegrated')
0.19436464,('ill-timed', 'low-income')
0.19427864,('meager', 'stinginess')
0.19418746,('mendicant', 'pitiable')
0.19415857,('unseasonable', 'isolated')
0.19413382,('wretched', 'narrow')
0.19376893,('badguy', 'sad')
0.19363438,('parochial', 'poorer')
0.19358565,('pauper', 'pariah')
0.19324414,('impoverished', 'pitiful')
0.19303364,('hapless', 'unhappy')
0.1928144,('supplicate', 'impoverishing')
0.19275805,('indigent', 'unintegrated')
0.19266684,('unseasonable', 'unhappy')
0.19251928,('narrow-minded', 'impoverishing')
0.19246301,('narrow-minded', 'meanness')
0.19221583,('supplicate', 'wretched')
0.19219719,('pathetic', 'piteous')
0.19159529,('villainous', 'misers')
0.1913611,('impoverished', 'stingy')
0.19129448,('wretch', 'tightwad')
0.1911825,('impoverished', 'meagre')
0.19111952,('pitiable', 'detached')
0.19107011,('miscreants', 'miser')
0.19093429,('pitiful', 'poverty-stricken')
0.19080219,('separated', 'pariahs')
0.19072111,('parochial', 'unhappy')
0.1904419,('miser', 'pray')
0.19020371,('poorer', 'penniless')
0.19012763,('mendicant', 'isolated')
0.19003497,('wretch', 'scoundrel')
0.18992001,('villain', 'miser')
0.1898968,('parsimonious', 'misers')
0.1896278,('destitute', 'untimely')
0.18949185,('paupers', 'impoverishment')
0.18947873,('low-income', 'impoverishing')
0.189476,('have-not', 'unintegrated')
0.18934695,('pariah', 'detached')
0.18920001,('insular', 'impoverishing')
0.18906003,('indigent', 'insular')
0.1890325,('pitiful', 'narrow')
0.1889614,('parochial', 'unfortunate')
0.18876648,('indigent', 'poverty-stricken')
0.18872452,('segregated', 'indigent')
0.18866774,('poor', 'separated')
0.18855128,('wretched', 'paupers')
0.18825354,('poverty', 'impoverish')
0.18816562,('misfortunate', 'supplicate')
0.18792097,('outcast', 'poor')
0.18779428,('scoundrel', 'meanness')
0.18753816,('villainous', 'pariah')
0.18722299,('isolated', 'unintegrated')
0.1871345,('scrooge', 'meagre')
0.1870977,('outcast', 'sad')
0.18707094,('parsimonious', 'villainess')
0.1869581,('mendicant', 'untimely')
0.18685381,('indigent', 'poorer')
0.18648759,('miser', 'impoverishment')
0.18635805,('impoverished', 'stinginess')
0.18621655,('destitute', 'impoverishment')
0.18575937,('low-income', 'impoverishment')
0.1856573,('outcast', 'stingy')
0.18557756,('poor', 'stinginess')
0.1854125,('poorness', 'unintegrated')
0.18536662,('unfortunate', 'unintegrated')
0.18524903,('implore', 'parsimonious')
